	inst_id	rna_plate	rna_well	pert_id	pert_iname	pert_type	pert_dose	pert_dose_unit	pert_time	pert_time_unit	cell_id
28230	CPC004_HA1E_24H_X3_B3_DUO52HI53LO:K24	CPC004_HA1E_24H_X3	K24	BRD-A90490067	fulvestrant	trt_cp	10.0	um	24	h	HA1E
29555	CPC004_HCC515_24H_X2_B3_DUO52HI53LO:D02	CPC004_HCC515_24H_X2	D02	BRD-K38055836	etamivan	trt_cp	10.0	um	24	h	HCC515
30844	CPC004_HCC515_6H_X3_B3_DUO52HI53LO:I02	CPC004_HCC515_6H_X3	I02	BRD-A19195498	trimipramine	trt_cp	10.0	um	6	h	HCC515
31194	CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:L05	CPC004_HEPG2_6H_X1	L05	BRD-A54880345	etomidate	trt_cp	10.0	um	6	h	HEPG2
31329	CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:J17	CPC004_HEPG2_6H_X2	J17	BRD-K35941380	methysergide	trt_cp	10.0	um	6	h	HEPG2
31860	CPC004_HT29_6H_X2_B3_DUO52HI53LO:G24	CPC004_HT29_6H_X2	G24	BRD-K47631482	bromhexine	trt_cp	10.0	um	6	h	HT29
32310	CPC004_HT29_6H_X3_B3_DUO52HI53LO:A11	CPC004_HT29_6H_X3	A11	BRD-K41713976	E-4031	trt_cp	10.0	um	6	h	HT29
38725	CPC004_VCAP_24H_X2_B5_DUO52HI53LO:D18	CPC004_VCAP_24H_X2	D18	BRD-K52075715	oxibendazole	trt_cp	10.0	um	24	h	VCAP
41610	CPC005_A375_24H_X3_B3_DUO52HI53LO:E18	CPC005_A375_24H_X3	E18	BRD-A47513740	calyculin	trt_cp	10.0	um	24	h	A375
41642	CPC005_A375_6H_X3_B3_DUO52HI53LO:K06	CPC005_A375_6H_X3	K06	BRD-A85280935	quinpirole	trt_cp	10.0	um	6	h	A375
46400	CPC005_HCC515_6H_X2_F1B4_DUO52HI53LO:P17	CPC005_HCC515_6H_X2	P17	BRD-K50891186	GR-103691	trt_cp	10.0	um	6	h	HCC515
54273	CPC005_PC3_6H_X2_B3_DUO52HI53LO:D20	CPC005_PC3_6H_X2	D20	BRD-K91336023	mesulergine	trt_cp	10.0	um	6	h	PC3
59409	CPC006_A375_6H_X1_F1B4_DUO52HI53LO:K15	CPC006_A375_6H_X1	K15	BRD-K19922318	BRD-K19922318	trt_cp	10.0	um	6	h	A375
60577	CPC006_A375_6H_X5_B4_DUO52HI53LO:C08	CPC006_A375_6H_X5	C08	BRD-K01292756	pimozide	trt_cp	10.0	um	6	h	A375
63165	CPC006_A673_6H_X2_B4_DUO52HI53LO:D09	CPC006_A673_6H_X2	D09	BRD-K50590187	capsaicin	trt_cp	160.0	um	6	h	A673
63170	CPC006_A673_6H_X1_B4_DUO52HI53LO:O23	CPC006_A673_6H_X1	O23	BRD-A13195221	STK-064652	trt_cp	10.0	um	6	h	A673
63181	CPC006_A673_6H_X2_B4_DUO52HI53LO:L15	CPC006_A673_6H_X2	L15	BRD-K98404142	BRD-K98404142	trt_cp	11.1	um	6	h	A673
63192	CPC006_A673_6H_X1_B4_DUO52HI53LO:A12	CPC006_A673_6H_X1	A12	BRD-K56477805	BRD-K56477805	trt_cp	10.0	um	6	h	A673
63197	CPC006_A673_6H_X2_B4_DUO52HI53LO:D10	CPC006_A673_6H_X2	D10	BRD-K61053657	BRD-K61053657	trt_cp	80.0	um	6	h	A673
63216	CPC006_A673_6H_X1_B4_DUO52HI53LO:I04	CPC006_A673_6H_X1	I04	BRD-K82746043	navitoclax	trt_cp	10.0	um	6	h	A673
63222	CPC006_A673_6H_X1_B4_DUO52HI53LO:C11	CPC006_A673_6H_X1	C11	BRD-K88560311	rucaparib	trt_cp	10.0	um	6	h	A673
63241	CPC006_A673_6H_X2_B4_DUO52HI53LO:M13	CPC006_A673_6H_X2	M13	BRD-K28296557	AKT-inhibitor-IV	trt_cp	10.0	um	6	h	A673
63252	CPC006_A673_6H_X1_B4_DUO52HI53LO:J24	CPC006_A673_6H_X1	J24	BRD-M86331534	pyrvinium-pamoate	trt_cp	10.0	um	6	h	A673
63264	CPC006_A673_6H_X1_B4_DUO52HI53LO:E11	CPC006_A673_6H_X1	E11	BRD-K10882151	BO2-inhibits-RAD51	trt_cp	40.0	um	6	h	A673
63282	CPC006_A673_6H_X1_B4_DUO52HI53LO:A09	CPC006_A673_6H_X1	A09	BRD-K02822062	CT-200783	trt_cp	10.0	um	6	h	A673
63288	CPC006_A673_6H_X1_B4_DUO52HI53LO:F03	CPC006_A673_6H_X1	F03	BRD-K82818427	batimastat	trt_cp	44.4	um	6	h	A673
63289	CPC006_A673_6H_X2_B4_DUO52HI53LO:F03	CPC006_A673_6H_X2	F03	BRD-K82818427	batimastat	trt_cp	44.4	um	6	h	A673
63295	CPC006_A673_6H_X2_B4_DUO52HI53LO:C21	CPC006_A673_6H_X2	C21	BRD-K78716413	BRD-K78716413	trt_cp	10.0	um	6	h	A673
63297	CPC006_A673_6H_X2_B4_DUO52HI53LO:H07	CPC006_A673_6H_X2	H07	BRD-K40892394	AR-C133057XX	trt_cp	11.1	um	6	h	A673
63314	CPC006_A673_6H_X1_B4_DUO52HI53LO:B17	CPC006_A673_6H_X1	B17	DMSO	DMSO	ctl_vehicle	-666.0	-666	6	h	A673
63319	CPC006_A673_6H_X1_B4_DUO52HI53LO:I16	CPC006_A673_6H_X1	I16	DMSO	DMSO	ctl_vehicle	-666.0	-666	6	h	A673
63323	CPC006_A673_6H_X1_B4_DUO52HI53LO:M10	CPC006_A673_6H_X1	M10	DMSO	DMSO	ctl_vehicle	-666.0	-666	6	h	A673
63327	CPC006_A673_6H_X2_B4_DUO52HI53LO:B17	CPC006_A673_6H_X2	B17	DMSO	DMSO	ctl_vehicle	-666.0	-666	6	h	A673
63336	CPC006_A673_6H_X2_B4_DUO52HI53LO:J16	CPC006_A673_6H_X2	J16	DMSO	DMSO	ctl_vehicle	-666.0	-666	6	h	A673
63347	CPC006_A673_6H_X2_B4_DUO52HI53LO:D05	CPC006_A673_6H_X2	D05	BRD-K32405725	etomoxir	trt_cp	88.8	um	6	h	A673
63360	CPC006_A673_6H_X1_B4_DUO52HI53LO:C24	CPC006_A673_6H_X1	C24	BRD-K77947974	fluspirilene	trt_cp	4.21	um	6	h	A673
63362	CPC006_A673_6H_X1_B4_DUO52HI53LO:B20	CPC006_A673_6H_X1	B20	BRD-K28307902	flutamide	trt_cp	28.96	um	6	h	A673
63368	CPC006_A673_6H_X1_B4_DUO52HI53LO:K12	CPC006_A673_6H_X1	K12	BRD-K31342827	bisindolylmaleimide	trt_cp	12.12	um	6	h	A673
63383	CPC006_A673_6H_X2_B4_DUO52HI53LO:I23	CPC006_A673_6H_X2	I23	BRD-K93023739	IKK-inhibitor-X	trt_cp	6.0	um	6	h	A673
63406	CPC006_A673_6H_X1_B4_DUO52HI53LO:O01	CPC006_A673_6H_X1	O01	BRD-K69328504	L-690488	trt_cp	10.0	um	6	h	A673
63424	CPC006_A673_6H_X1_B4_DUO52HI53LO:O18	CPC006_A673_6H_X1	O18	BRD-K76205745	losartan	trt_cp	160.0	um	6	h	A673
63435	CPC006_A673_6H_X2_B4_DUO52HI53LO:G02	CPC006_A673_6H_X2	G02	BRD-K16406336	methylene-blue	trt_cp	10.0	um	6	h	A673
63443	CPC006_A673_6H_X2_B4_DUO52HI53LO:H21	CPC006_A673_6H_X2	H21	BRD-K67844266	pevonedistat	trt_cp	11.1	um	6	h	A673
63447	CPC006_A673_6H_X2_B4_DUO52HI53LO:I08	CPC006_A673_6H_X2	I08	BRD-A36275421	BRD-A36275421	trt_cp	10.0	um	6	h	A673
63452	CPC006_A673_6H_X1_B4_DUO52HI53LO:M01	CPC006_A673_6H_X1	M01	BRD-A26711594	nicardipine	trt_cp	10.0	um	6	h	A673
63456	CPC006_A673_6H_X1_B4_DUO52HI53LO:E16	CPC006_A673_6H_X1	E16	BRD-A02006392	nitrendipine	trt_cp	10.0	um	6	h	A673
63460	CPC006_A673_6H_X1_B4_DUO52HI53LO:B22	CPC006_A673_6H_X1	B22	BRD-A80213327	NSC-23766	trt_cp	160.0	um	6	h	A673
63468	CPC006_A673_6H_X1_B4_DUO52HI53LO:F02	CPC006_A673_6H_X1	F02	BRD-A12230535	nutlin-3	trt_cp	44.4	um	6	h	A673
63470	CPC006_A673_6H_X1_B4_DUO52HI53LO:L10	CPC006_A673_6H_X1	L10	BRD-K08589866	linsitinib	trt_cp	10.0	um	6	h	A673
63476	CPC006_A673_6H_X1_B4_DUO52HI53LO:H23	CPC006_A673_6H_X1	H23	BRD-K67868012	PI-103	trt_cp	11.1	um	6	h	A673
63492	CPC006_A673_6H_X2_B4_DUO52HI53LO:E10	CPC006_A673_6H_X2	E10	BRD-K06980535	promazine	trt_cp	10.0	um	6	h	A673
63494	CPC006_A673_6H_X2_B4_DUO52HI53LO:I14	CPC006_A673_6H_X2	I14	BRD-K04010869	prostaglandin-a1	trt_cp	1.0	um	6	h	A673
63496	CPC006_A673_6H_X2_B4_DUO52HI53LO:F21	CPC006_A673_6H_X2	F21	BRD-K02407574	parbendazole	trt_cp	0.31	um	6	h	A673
63500	CPC006_A673_6H_X2_B4_DUO52HI53LO:I22	CPC006_A673_6H_X2	I22	BRD-K98548675	parthenolide	trt_cp	10.0	um	6	h	A673
63513	CPC006_A673_6H_X1_B4_DUO52HI53LO:G21	CPC006_A673_6H_X1	G21	BRD-A45889380	mepacrine	trt_cp	10.0	um	6	h	A673
63517	CPC006_A673_6H_X1_B4_DUO52HI53LO:K18	CPC006_A673_6H_X1	K18	BRD-K08478539	RLM-2-12	trt_cp	10.0	um	6	h	A673
63526	CPC006_A673_6H_X2_B4_DUO52HI53LO:D06	CPC006_A673_6H_X2	D06	BRD-K21672174	Ro-28-1675	trt_cp	160.0	um	6	h	A673
63529	CPC006_A673_6H_X1_B4_DUO52HI53LO:K08	CPC006_A673_6H_X1	K08	BRD-K03816923	rottlerin	trt_cp	9.68	um	6	h	A673
63533	CPC006_A673_6H_X1_B4_DUO52HI53LO:D22	CPC006_A673_6H_X1	D22	BRD-K08417745	SID-26681509	trt_cp	88.8	um	6	h	A673
63538	CPC006_A673_6H_X2_B4_DUO52HI53LO:D14	CPC006_A673_6H_X2	D14	BRD-K40853697	STAT3-inhibitor-VI	trt_cp	160.0	um	6	h	A673
63543	CPC006_A673_6H_X2_B4_DUO52HI53LO:B08	CPC006_A673_6H_X2	B08	BRD-K50128260	sildenafil	trt_cp	160.0	um	6	h	A673
63544	CPC006_A673_6H_X1_B4_DUO52HI53LO:D12	CPC006_A673_6H_X1	D12	BRD-K38985961	T-5345967	trt_cp	160.0	um	6	h	A673
63553	CPC006_A673_6H_X2_B4_DUO52HI53LO:E14	CPC006_A673_6H_X2	E14	BRD-A93255169	thalidomide	trt_cp	10.0	um	6	h	A673
63562	CPC006_A673_6H_X1_B4_DUO52HI53LO:O04	CPC006_A673_6H_X1	O04	BRD-K62965247	tipifarnib-P2	trt_cp	10.0	um	6	h	A673
63574	CPC006_A673_6H_X1_B4_DUO52HI53LO:P15	CPC006_A673_6H_X1	P15	BRD-K32330832	VER-155008	trt_cp	11.1	um	6	h	A673
63580	CPC006_A673_6H_X1_B4_DUO52HI53LO:C13	CPC006_A673_6H_X1	C13	BRD-A62182663	YK-4279	trt_cp	10.0	um	6	h	A673
63593	CPC006_A673_6H_X1_B4_DUO52HI53LO:A11	CPC006_A673_6H_X1	A11	BRD-K71799949	carbamazepine	trt_cp	96.0	um	6	h	A673
63602	CPC006_A673_6H_X2_B4_DUO52HI53LO:D07	CPC006_A673_6H_X2	D07	BRD-K40758391	BRD-K40758391	trt_cp	40.0	um	6	h	A673
63607	CPC006_A673_6H_X1_B4_DUO52HI53LO:G17	CPC006_A673_6H_X1	G17	BRD-A38030642	cyclosporin-a	trt_cp	10.0	um	6	h	A673
63628	CPC006_A673_6H_X1_B4_DUO52HI53LO:N18	CPC006_A673_6H_X1	N18	BRD-K78867378	MW-A1-12	trt_cp	10.0	um	6	h	A673
63635	CPC006_A673_6H_X2_B4_DUO52HI53LO:N22	CPC006_A673_6H_X2	N22	BRD-A58048407	nimodipine	trt_cp	10.0	um	6	h	A673
63648	CPC006_A673_6H_X2_B4_DUO52HI53LO:E18	CPC006_A673_6H_X2	E18	BRD-A79768653	sirolimus	trt_cp	10.0	um	6	h	A673
63652	CPC006_A673_6H_X2_B4_DUO52HI53LO:B11	CPC006_A673_6H_X2	B11	BRD-A75517195	thiazolopyrimidine	trt_cp	40.0	um	6	h	A673
63660	CPC006_A673_6H_X2_B4_DUO52HI53LO:A14	CPC006_A673_6H_X2	A14	BRD-K41260949	valproic-acid	trt_cp	10.0	um	6	h	A673
63678	CPC006_AGS_6H_X2_B4_DUO52HI53LO:L15	CPC006_AGS_6H_X2	L15	BRD-K98404142	BRD-K98404142	trt_cp	11.1	um	6	h	AGS
63687	CPC006_AGS_6H_X1_B4_DUO52HI53LO:B24	CPC006_AGS_6H_X1	B24	BRD-K84924563	BRD-K84924563	trt_cp	40.0	um	6	h	AGS
63690	CPC006_AGS_6H_X2_B4_DUO52HI53LO:O07	CPC006_AGS_6H_X2	O07	BRD-A81936046	BRD-A81936046	trt_cp	10.0	um	6	h	AGS
63694	CPC006_AGS_6H_X2_B4_DUO52HI53LO:C23	CPC006_AGS_6H_X2	C23	BRD-K87142802	veliparib	trt_cp	10.0	um	6	h	AGS
63704	CPC006_AGS_6H_X2_B4_DUO52HI53LO:M13	CPC006_AGS_6H_X2	M13	BRD-K28296557	AKT-inhibitor-IV	trt_cp	10.0	um	6	h	AGS
63710	CPC006_AGS_6H_X2_B4_DUO52HI53LO:E11	CPC006_AGS_6H_X2	E11	BRD-K10882151	BO2-inhibits-RAD51	trt_cp	40.0	um	6	h	AGS
63713	CPC006_AGS_6H_X1_B4_DUO52HI53LO:O19	CPC006_AGS_6H_X1	O19	BRD-K45399554	CAM-9-027-3	trt_cp	10.0	um	6	h	AGS
63716	CPC006_AGS_6H_X2_B4_DUO52HI53LO:E04	CPC006_AGS_6H_X2	E04	BRD-A91699651	chloroquine	trt_cp	10.0	um	6	h	AGS
63720	CPC006_AGS_6H_X2_B4_DUO52HI53LO:J08	CPC006_AGS_6H_X2	J08	BRD-K01779529	fluoropyruvate	trt_cp	44.4	um	6	h	AGS
63725	CPC006_AGS_6H_X1_B4_DUO52HI53LO:J07	CPC006_AGS_6H_X1	J07	BRD-K74402642	NSC-632839	trt_cp	10.0	um	6	h	AGS
63773	CPC006_AGS_6H_X2_B4_DUO52HI53LO:I23	CPC006_AGS_6H_X2	I23	BRD-K93023739	IKK-inhibitor-X	trt_cp	6.0	um	6	h	AGS
63791	CPC006_AGS_6H_X2_B4_DUO52HI53LO:H06	CPC006_AGS_6H_X2	H06	BRD-A17883755	lenalidomide	trt_cp	177.6	um	6	h	AGS
63800	CPC006_AGS_6H_X1_B4_DUO52HI53LO:G02	CPC006_AGS_6H_X1	G02	BRD-K16406336	methylene-blue	trt_cp	10.0	um	6	h	AGS
63807	CPC006_AGS_6H_X2_B4_DUO52HI53LO:M01	CPC006_AGS_6H_X2	M01	BRD-A26711594	nicardipine	trt_cp	10.0	um	6	h	AGS
63811	CPC006_AGS_6H_X2_B4_DUO52HI53LO:E16	CPC006_AGS_6H_X2	E16	BRD-A02006392	nitrendipine	trt_cp	10.0	um	6	h	AGS
63817	CPC006_AGS_6H_X2_B4_DUO52HI53LO:K17	CPC006_AGS_6H_X2	K17	BRD-A19633847	perhexiline	trt_cp	10.0	um	6	h	AGS
63819	CPC006_AGS_6H_X2_B4_DUO52HI53LO:H23	CPC006_AGS_6H_X2	H23	BRD-K67868012	PI-103	trt_cp	11.1	um	6	h	AGS
63836	CPC006_AGS_6H_X1_B4_DUO52HI53LO:I22	CPC006_AGS_6H_X1	I22	BRD-K98548675	parthenolide	trt_cp	10.0	um	6	h	AGS
63839	CPC006_AGS_6H_X2_B4_DUO52HI53LO:M11	CPC006_AGS_6H_X2	M11	BRD-K59597909	phenothiazine	trt_cp	10.0	um	6	h	AGS
63840	CPC006_AGS_6H_X1_B4_DUO52HI53LO:I19	CPC006_AGS_6H_X1	I19	BRD-K53595844	phenoxazine	trt_cp	10.0	um	6	h	AGS
63854	CPC006_AGS_6H_X1_B4_DUO52HI53LO:O05	CPC006_AGS_6H_X1	O05	BRD-K23875128	RHO-kinase-inhibitor-III[rockout]	trt_cp	10.0	um	6	h	AGS
63866	CPC006_AGS_6H_X1_B4_DUO52HI53LO:E14	CPC006_AGS_6H_X1	E14	BRD-A93255169	thalidomide	trt_cp	10.0	um	6	h	AGS
63869	CPC006_AGS_6H_X2_B4_DUO52HI53LO:A06	CPC006_AGS_6H_X2	A06	BRD-K32107296	temozolomide	trt_cp	10.0	um	6	h	AGS
63874	CPC006_AGS_6H_X1_B4_DUO52HI53LO:F16	CPC006_AGS_6H_X1	F16	BRD-K68336408	tyrphostin-AG-1478	trt_cp	56.78	um	6	h	AGS
63875	CPC006_AGS_6H_X2_B4_DUO52HI53LO:F16	CPC006_AGS_6H_X2	F16	BRD-K68336408	tyrphostin-AG-1478	trt_cp	56.78	um	6	h	AGS
63892	CPC006_AGS_6H_X1_B4_DUO52HI53LO:O15	CPC006_AGS_6H_X1	O15	BRD-A28105619	cucurbitacin-i	trt_cp	10.0	um	6	h	AGS
63896	CPC006_AGS_6H_X1_B4_DUO52HI53LO:N20	CPC006_AGS_6H_X1	N20	BRD-K35723520	darinaparsin	trt_cp	10.0	um	6	h	AGS
63902	CPC006_AGS_6H_X1_B4_DUO52HI53LO:M19	CPC006_AGS_6H_X1	M19	BRD-A77216878	manumycin-a	trt_cp	10.0	um	6	h	AGS
63903	CPC006_AGS_6H_X2_B4_DUO52HI53LO:M19	CPC006_AGS_6H_X2	M19	BRD-A77216878	manumycin-a	trt_cp	10.0	um	6	h	AGS
63928	CPC006_CL34_6H_X2_B5_DUO52HI53LO:D09	CPC006_CL34_6H_X2	D09	BRD-K50590187	capsaicin	trt_cp	160.0	um	6	h	CL34
63930	CPC006_CL34_6H_X2_B5_DUO52HI53LO:I01	CPC006_CL34_6H_X2	I01	BRD-K14329163	BAY-K-8644-(S)-(-)	trt_cp	10.0	um	6	h	CL34
63933	CPC006_CL34_6H_X1_B5_DUO52HI53LO:O23	CPC006_CL34_6H_X1	O23	BRD-A13195221	STK-064652	trt_cp	10.0	um	6	h	CL34
63936	CPC006_CL34_6H_X2_B5_DUO52HI53LO:A10	CPC006_CL34_6H_X2	A10	BRD-K86682249	BRD-K86682249	trt_cp	10.0	um	6	h	CL34
63938	CPC006_CL34_6H_X2_B5_DUO52HI53LO:L19	CPC006_CL34_6H_X2	L19	BRD-A13122391	triptolide	trt_cp	0.08	um	6	h	CL34
63939	CPC006_CL34_6H_X2_B5_DUO52HI53LO:K15	CPC006_CL34_6H_X2	K15	BRD-K19922318	BRD-K19922318	trt_cp	10.0	um	6	h	CL34
63943	CPC006_CL34_6H_X2_B5_DUO52HI53LO:L15	CPC006_CL34_6H_X2	L15	BRD-K98404142	BRD-K98404142	trt_cp	11.1	um	6	h	CL34
63951	CPC006_CL34_6H_X2_B5_DUO52HI53LO:L18	CPC006_CL34_6H_X2	L18	BRD-A94451536	2-fluoropalmitic-acid	trt_cp	44.4	um	6	h	CL34
63952	CPC006_CL34_6H_X2_B5_DUO52HI53LO:A08	CPC006_CL34_6H_X2	A08	BRD-K59470558	BRD-K59470558	trt_cp	10.0	um	6	h	CL34
63956	CPC006_CL34_6H_X2_B5_DUO52HI53LO:O21	CPC006_CL34_6H_X2	O21	BRD-K79382620	TH02453-036-P1	trt_cp	11.1	um	6	h	CL34
63957	CPC006_CL34_6H_X1_B5_DUO52HI53LO:D10	CPC006_CL34_6H_X1	D10	BRD-K61053657	BRD-K61053657	trt_cp	80.0	um	6	h	CL34
63965	CPC006_CL34_6H_X1_B5_DUO52HI53LO:L06	CPC006_CL34_6H_X1	L06	BRD-K95606637	BRD-K95606637	trt_cp	10.0	um	6	h	CL34
63967	CPC006_CL34_6H_X1_B5_DUO52HI53LO:D19	CPC006_CL34_6H_X1	D19	BRD-K53903639	CHEMBL-1222381	trt_cp	80.0	um	6	h	CL34
63973	CPC006_CL34_6H_X2_B5_DUO52HI53LO:O07	CPC006_CL34_6H_X2	O07	BRD-A81936046	BRD-A81936046	trt_cp	10.0	um	6	h	CL34
63984	CPC006_CL34_6H_X1_B5_DUO52HI53LO:E09	CPC006_CL34_6H_X1	E09	BRD-K00615600	AG-14361	trt_cp	25.0	um	6	h	CL34
63985	CPC006_CL34_6H_X2_B5_DUO52HI53LO:E09	CPC006_CL34_6H_X2	E09	BRD-K00615600	AG-14361	trt_cp	25.0	um	6	h	CL34
63989	CPC006_CL34_6H_X2_B5_DUO52HI53LO:C06	CPC006_CL34_6H_X2	C06	BRD-K41895714	AS-605240	trt_cp	10.0	um	6	h	CL34
63994	CPC006_CL34_6H_X1_B5_DUO52HI53LO:J02	CPC006_CL34_6H_X1	J02	BRD-K02113016	olaparib	trt_cp	44.4	um	6	h	CL34
63998	CPC006_CL34_6H_X1_B5_DUO52HI53LO:M13	CPC006_CL34_6H_X1	M13	BRD-K28296557	AKT-inhibitor-IV	trt_cp	10.0	um	6	h	CL34
64008	CPC006_CL34_6H_X1_B5_DUO52HI53LO:O20	CPC006_CL34_6H_X1	O20	BRD-K04623885	BIBR-1532	trt_cp	80.0	um	6	h	CL34
64010	CPC006_CL34_6H_X1_B5_DUO52HI53LO:J24	CPC006_CL34_6H_X1	J24	BRD-M86331534	pyrvinium-pamoate	trt_cp	10.0	um	6	h	CL34
64017	CPC006_CL34_6H_X2_B5_DUO52HI53LO:P19	CPC006_CL34_6H_X2	P19	BRD-K34581968	BMS-536924	trt_cp	11.1	um	6	h	CL34
64028	CPC006_CL34_6H_X1_B5_DUO52HI53LO:D16	CPC006_CL34_6H_X1	D16	BRD-K61662457	CAY-10594	trt_cp	20.0	um	6	h	CL34
64032	CPC006_CL34_6H_X1_B5_DUO52HI53LO:B10	CPC006_CL34_6H_X1	B10	BRD-K92241597	tosedostat	trt_cp	80.0	um	6	h	CL34
64033	CPC006_CL34_6H_X2_B5_DUO52HI53LO:B10	CPC006_CL34_6H_X2	B10	BRD-K92241597	tosedostat	trt_cp	80.0	um	6	h	CL34
64042	CPC006_CL34_6H_X1_B5_DUO52HI53LO:J08	CPC006_CL34_6H_X1	J08	BRD-K01779529	fluoropyruvate	trt_cp	44.4	um	6	h	CL34
64053	CPC006_CL34_6H_X2_B5_DUO52HI53LO:C15	CPC006_CL34_6H_X2	C15	BRD-K52904470	BRD-K52904470	trt_cp	10.0	um	6	h	CL34
64055	CPC006_CL34_6H_X2_B5_DUO52HI53LO:O22	CPC006_CL34_6H_X2	O22	BRD-K80672993	M2-PK-activator	trt_cp	88.8	um	6	h	CL34
64064	CPC006_CL34_6H_X1_B5_DUO52HI53LO:B18	CPC006_CL34_6H_X1	B18	DMSO	DMSO	ctl_vehicle	-666.0	-666	6	h	CL34
64066	CPC006_CL34_6H_X1_B5_DUO52HI53LO:J16	CPC006_CL34_6H_X1	J16	DMSO	DMSO	ctl_vehicle	-666.0	-666	6	h	CL34
64069	CPC006_CL34_6H_X1_B5_DUO52HI53LO:N09	CPC006_CL34_6H_X1	N09	DMSO	DMSO	ctl_vehicle	-666.0	-666	6	h	CL34
64086	CPC006_CL34_6H_X1_B5_DUO52HI53LO:D05	CPC006_CL34_6H_X1	D05	BRD-K32405725	etomoxir	trt_cp	88.8	um	6	h	CL34
64099	CPC006_CL34_6H_X2_B5_DUO52HI53LO:M23	CPC006_CL34_6H_X2	M23	BRD-K75532464	FTI-276	trt_cp	10.0	um	6	h	CL34
